Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C5, C6",0603,4,10uF,
"C10, C11, C12, C13, C14, C16, C17",0402,7,1u,CL05A105KO5NNNC
"C15, C3, C7",0402,3,100nF,C100072
"C4, C8, C9",0603,3,10uF,C5673
J1,PinHeader_1x12_P2.54mm_Vertical,1,Conn_01x12,
J2,HRS_DF12NB-60DS-0.5V_51,1,DF12NB-60DS-0.5V_51,C5137127
J3,HRS_DF12NB-50DS-0.5V_51,1,DF12NB-50DS-0.5V_51,C2858672
"R1, R2, R5",0603,3,0,CRG0603ZR
"R10, R11",0402,2,1k,C11702
"R12, R13",0402,2,2k,RC0402FR-072KL
"R3, R6, R7",0603,3,0,C95177
"R4, R8, R9",0805,3,0,C4143065
"U1, U2",SOT-23-5,2,AP2112K-3.3,C23380830
U3,ttgf0p2_cob,1,TT_GF_0p2_ASIC,
U4,DFN-8-1EP_3x2mm_P0.5mm_EP1.75x1.45mm,1,24LC02,C612280
