Designator,Mid X,Mid Y,Rotation,Layer
C1,8.1,41.9,0.0,top
C10,21.802,18.0816,270.0,top
C11,29.0,32.58,90.0,top
C12,20.8,32.58,90.0,top
C13,22.2,32.58,90.0,top
C14,28.7,17.92,270.0,top
C15,35.6,4.8,0.0,top
C16,25.002,17.8816,270.0,top
C17,25.6,32.78,90.0,top
C2,8.0,47.9,0.0,top
C3,5.9,47.8,90.0,top
C5,46.8,41.4375,0.0,top
C6,46.95,47.3375,0.0,top
C7,46.95,48.5375,0.0,top
J2,6.0,28.0,90.0,bottom
J3,44.0,13.0,90.0,bottom
R10,35.125,43.275,270.0,top
R11,32.575,43.275,270.0,top
R2,5.4,45.3,90.0,top
R3,3.1,42.2,270.0,top
R4,21.4,42.7,180.0,top
R6,44.45,44.8375,90.0,top
R7,47.9,38.8375,90.0,top
R8,13.5,42.65,180.0,top
U3,25.0,25.0,90.0,top
